"pom.artifactId","pom.name","scope","dependency.optional","dependentArtifact.group","dependentArtifact.name","Source Cypher File: domains/external-dependencies/queries/Maven_POMs_and_their_declared_dependencies.cypher"
"axon-conversion","Axon Framework - Conversion","default",false,"tools.jackson.core","jackson-core",""
"axon-eventsourcing","Axon Framework - Event Sourcing","test",false,"com.fasterxml.jackson.dataformat","jackson-dataformat-cbor",""
"axon-eventsourcing","Axon Framework - Event Sourcing","test",false,"nl.jqno.equalsverifier","equalsverifier",""
"axon-eventsourcing","Axon Framework - Event Sourcing","test",false,"com.tngtech.archunit","archunit-junit5",""
"axon-eventsourcing","Axon Framework - Event Sourcing","default",true,"io.projectreactor","reactor-core",""
"axon-eventsourcing","Axon Framework - Event Sourcing","test",false,"org.springframework","spring-orm",""
"axon-eventsourcing","Axon Framework - Event Sourcing","test",false,"org.testcontainers","testcontainers-mysql",""
"axon-eventsourcing","Axon Framework - Event Sourcing","default",true,"jakarta.persistence","jakarta.persistence-api",""
"axon-eventsourcing","Axon Framework - Event Sourcing","provided",false,"com.google.code.findbugs","jsr305",""
"axon-eventsourcing","Axon Framework - Event Sourcing","default",false,"org.axonframework","axon-messaging",""
"axon-eventsourcing","Axon Framework - Event Sourcing","test",false,"com.fasterxml.jackson.core","jackson-core",""
"axon-eventsourcing","Axon Framework - Event Sourcing","test",false,"org.hibernate.orm","hibernate-core",""
"axon-eventsourcing","Axon Framework - Event Sourcing","test",false,"org.springframework","spring-tx",""
"axon-eventsourcing","Axon Framework - Event Sourcing","test",false,"org.ehcache","ehcache",""
"axon-eventsourcing","Axon Framework - Event Sourcing","test",false,"org.glassfish.expressly","expressly",""
"axon-eventsourcing","Axon Framework - Event Sourcing","test",false,"org.axonframework","axon-messaging",""
"axon-eventsourcing","Axon Framework - Event Sourcing","test",false,"jakarta.el","jakarta.el-api",""
"axon-eventsourcing","Axon Framework - Event Sourcing","test",false,"com.fasterxml.jackson.datatype","jackson-datatype-jsr310",""
"axon-eventsourcing","Axon Framework - Event Sourcing","test",false,"org.springframework","spring-context-support",""
"axon-eventsourcing","Axon Framework - Event Sourcing","test",false,"com.fasterxml.jackson.core","jackson-databind",""
"axon-eventsourcing","Axon Framework - Event Sourcing","test",false,"io.projectreactor","reactor-test",""
"axon-eventsourcing","Axon Framework - Event Sourcing","test",false,"org.springframework.security","spring-security-config",""
"axon-eventsourcing","Axon Framework - Event Sourcing","test",false,"org.testcontainers","testcontainers-junit-jupiter",""
"axon-eventsourcing","Axon Framework - Event Sourcing","test",false,"org.springframework","spring-test",""
"axon-eventsourcing","Axon Framework - Event Sourcing","test",false,"org.hsqldb","hsqldb",""
"axon-eventsourcing","Axon Framework - Event Sourcing","test",false,"org.axonframework","axon-common",""
"axon-eventsourcing","Axon Framework - Event Sourcing","test",false,"com.mysql","mysql-connector-j",""
"axon-eventsourcing","Axon Framework - Event Sourcing","default",false,"org.reactivestreams","reactive-streams",""
"axon-eventsourcing","Axon Framework - Event Sourcing","default",true,"jakarta.validation","jakarta.validation-api",""
"axon-eventsourcing","Axon Framework - Event Sourcing","test",false,"org.hibernate.validator","hibernate-validator",""
"axon-eventsourcing","Axon Framework - Event Sourcing","default",false,"org.axonframework","axon-modelling",""
"axon-eventsourcing","Axon Framework - Event Sourcing","test",false,"tools.jackson.core","jackson-databind",""
"axon-messaging","Axon Framework - Messaging","test",false,"org.springframework.security","spring-security-config",""
"axon-messaging","Axon Framework - Messaging","default",true,"org.jobrunr","jobrunr",""
"axon-messaging","Axon Framework - Messaging","test",false,"org.hibernate.validator","hibernate-validator",""
"axon-messaging","Axon Framework - Messaging","default",false,"org.axonframework","axon-update",""
"axon-messaging","Axon Framework - Messaging","default",true,"jakarta.persistence","jakarta.persistence-api",""
"axon-messaging","Axon Framework - Messaging","test",false,"com.fasterxml.jackson.dataformat","jackson-dataformat-cbor",""
"axon-messaging","Axon Framework - Messaging","test",false,"org.springframework","spring-test",""
"axon-messaging","Axon Framework - Messaging","test",false,"org.axonframework","axon-conversion",""
"axon-messaging","Axon Framework - Messaging","test",false,"org.springframework","spring-context-support",""
"axon-messaging","Axon Framework - Messaging","default",false,"org.slf4j","slf4j-api",""
"axon-messaging","Axon Framework - Messaging","provided",false,"com.google.code.findbugs","jsr305",""
"axon-messaging","Axon Framework - Messaging","test",false,"org.hsqldb","hsqldb",""
"axon-messaging","Axon Framework - Messaging","default",false,"org.axonframework","axon-common",""
"axon-messaging","Axon Framework - Messaging","test",false,"com.fasterxml.jackson.module","jackson-module-parameter-names",""
"axon-messaging","Axon Framework - Messaging","default",true,"io.projectreactor","reactor-core",""
"axon-messaging","Axon Framework - Messaging","test",false,"org.springframework","spring-orm",""
"axon-messaging","Axon Framework - Messaging","default",true,"jakarta.validation","jakarta.validation-api",""
"axon-messaging","Axon Framework - Messaging","test",false,"io.projectreactor","reactor-test",""
"axon-messaging","Axon Framework - Messaging","test",false,"org.glassfish.expressly","expressly",""
"axon-messaging","Axon Framework - Messaging","default",true,"tools.jackson.core","jackson-databind",""
"axon-messaging","Axon Framework - Messaging","default",true,"org.quartz-scheduler","quartz",""
"axon-messaging","Axon Framework - Messaging","default",true,"javax.cache","cache-api",""
"axon-messaging","Axon Framework - Messaging","default",true,"com.fasterxml.jackson.datatype","jackson-datatype-jsr310",""
"axon-messaging","Axon Framework - Messaging","test",false,"com.google.code.gson","gson",""
"axon-messaging","Axon Framework - Messaging","default",true,"com.github.kagkarlsson","db-scheduler",""
"axon-messaging","Axon Framework - Messaging","test",false,"tools.jackson.dataformat","jackson-dataformat-cbor",""
"axon-messaging","Axon Framework - Messaging","default",true,"org.ehcache","ehcache",""
"axon-messaging","Axon Framework - Messaging","default",false,"org.reactivestreams","reactive-streams",""
"axon-messaging","Axon Framework - Messaging","default",false,"org.axonframework","axon-conversion",""
"axon-messaging","Axon Framework - Messaging","default",true,"org.hibernate.orm","hibernate-core",""
"axon-messaging","Axon Framework - Messaging","test",false,"org.axonframework","axon-common",""
"axon-messaging","Axon Framework - Messaging","test",false,"org.springframework","spring-tx",""
"axon-metrics-micrometer","Axon Extension - Metrics - Micrometer","default",true,"org.springframework.boot","spring-boot-starter",""
"axon-metrics-micrometer","Axon Extension - Metrics - Micrometer","default",false,"io.micrometer","micrometer-core",""
"axon-metrics-micrometer","Axon Extension - Metrics - Micrometer","test",false,"org.axonframework","axon-common",""
"axon-metrics-micrometer","Axon Extension - Metrics - Micrometer","default",false,"jakarta.annotation","jakarta.annotation-api",""
"axon-metrics-micrometer","Axon Extension - Metrics - Micrometer","test",false,"org.axonframework","axon-messaging",""
"axon-metrics-micrometer","Axon Extension - Metrics - Micrometer","provided",false,"com.google.code.findbugs","jsr305",""
"axon-metrics-micrometer","Axon Extension - Metrics - Micrometer","default",false,"org.axonframework","axon-messaging",""
"axon-metrics-micrometer","Axon Extension - Metrics - Micrometer","default",true,"org.axonframework.extensions.spring","axon-spring-boot-autoconfigure",""
"axon-metrics-micrometer","Axon Extension - Metrics - Micrometer","test",false,"org.springframework.boot","spring-boot-starter-test",""
"axon-modelling","Axon Framework - Modelling","test",false,"org.hsqldb","hsqldb",""
"axon-modelling","Axon Framework - Modelling","default",true,"org.ehcache","ehcache",""
"axon-modelling","Axon Framework - Modelling","default",true,"org.quartz-scheduler","quartz",""
"axon-modelling","Axon Framework - Modelling","default",false,"org.axonframework","axon-messaging",""
"axon-modelling","Axon Framework - Modelling","test",false,"org.springframework","spring-test",""
"axon-modelling","Axon Framework - Modelling","test",false,"org.glassfish.expressly","expressly",""
"axon-modelling","Axon Framework - Modelling","default",false,"org.slf4j","slf4j-api",""
"axon-modelling","Axon Framework - Modelling","test",false,"com.mysql","mysql-connector-j",""
"axon-modelling","Axon Framework - Modelling","test",false,"org.axonframework","axon-common",""
"axon-modelling","Axon Framework - Modelling","test",false,"org.postgresql","postgresql",""
"axon-modelling","Axon Framework - Modelling","test",false,"org.hibernate.validator","hibernate-validator",""
"axon-modelling","Axon Framework - Modelling","default",true,"javax.cache","cache-api",""
"axon-modelling","Axon Framework - Modelling","test",false,"org.axonframework","axon-messaging",""
"axon-modelling","Axon Framework - Modelling","test",false,"org.springframework","spring-context-support",""
"axon-modelling","Axon Framework - Modelling","test",false,"org.springframework","spring-tx",""
"axon-modelling","Axon Framework - Modelling","test",false,"org.springframework","spring-orm",""
"axon-modelling","Axon Framework - Modelling","test",true,"com.fasterxml.jackson.datatype","jackson-datatype-jsr310",""
"axon-modelling","Axon Framework - Modelling","test",false,"org.hibernate.orm","hibernate-core",""
"axon-modelling","Axon Framework - Modelling","test",false,"org.springframework.security","spring-security-config",""
"axon-modelling","Axon Framework - Modelling","default",true,"jakarta.persistence","jakarta.persistence-api",""
"axon-modelling","Axon Framework - Modelling","provided",false,"com.google.code.findbugs","jsr305",""
"axon-modelling","Axon Framework - Modelling","default",true,"com.fasterxml.jackson.core","jackson-databind",""
"axon-server-connector","Axoniq Framework - Axon Server Connector","default",false,"io.axoniq.framework","axoniq-distributed-messaging",""
"axon-server-connector","Axoniq Framework - Axon Server Connector","test",false,"org.testcontainers","testcontainers",""
"axon-server-connector","Axoniq Framework - Axon Server Connector","default",true,"org.axonframework","axon-messaging",""
"axon-server-connector","Axoniq Framework - Axon Server Connector","test",false,"io.axoniq.framework","axoniq-testcontainer",""
"axon-server-connector","Axoniq Framework - Axon Server Connector","test",false,"org.axonframework","axon-common",""
"axon-server-connector","Axoniq Framework - Axon Server Connector","default",true,"org.springframework.boot","spring-boot-configuration-processor",""
"axon-server-connector","Axoniq Framework - Axon Server Connector","test",false,"io.projectreactor","reactor-test",""
"axon-server-connector","Axoniq Framework - Axon Server Connector","default",true,"io.projectreactor","reactor-core",""
"axon-server-connector","Axoniq Framework - Axon Server Connector","test",false,"org.testcontainers","testcontainers-junit-jupiter",""
"axon-server-connector","Axoniq Framework - Axon Server Connector","default",true,"org.springframework","spring-context",""
"axon-server-connector","Axoniq Framework - Axon Server Connector","test",false,"org.axonframework","axon-messaging",""
"axon-server-connector","Axoniq Framework - Axon Server Connector","default",true,"org.springframework.boot","spring-boot-starter",""
"axon-server-connector","Axoniq Framework - Axon Server Connector","default",true,"org.axonframework","axon-eventsourcing",""
"axon-server-connector","Axoniq Framework - Axon Server Connector","test",false,"org.axonframework","axon-eventsourcing",""
"axon-server-connector","Axoniq Framework - Axon Server Connector","test",false,"org.axonframework","axon-test",""
"axon-server-connector","Axoniq Framework - Axon Server Connector","default",false,"io.axoniq","axonserver-connector-java",""
"axon-test","Axon Framework - Test Fixtures","compile",false,"org.hamcrest","hamcrest-library",""
"axon-test","Axon Framework - Test Fixtures","default",false,"org.axonframework","axon-eventsourcing",""
"axon-test","Axon Framework - Test Fixtures","compile",false,"org.hamcrest","hamcrest",""
"axon-test","Axon Framework - Test Fixtures","test",false,"jakarta.persistence","jakarta.persistence-api",""
"axon-test","Axon Framework - Test Fixtures","compile",false,"org.junit.jupiter","junit-jupiter",""
"axon-test","Axon Framework - Test Fixtures","test",false,"com.fasterxml.jackson.core","jackson-core",""
"axon-test","Axon Framework - Test Fixtures","compile",false,"org.awaitility","awaitility",""
"axon-test","Axon Framework - Test Fixtures","test",false,"org.axonframework","axon-common",""
"axon-test","Axon Framework - Test Fixtures","test",false,"com.fasterxml.jackson.datatype","jackson-datatype-jsr310",""
"axon-test","Axon Framework - Test Fixtures","test",false,"jakarta.inject","jakarta.inject-api",""
"axon-test","Axon Framework - Test Fixtures","test",false,"com.fasterxml.jackson.module","jackson-module-parameter-names",""
"axon-test","Axon Framework - Test Fixtures","test",false,"com.fasterxml.jackson.core","jackson-databind",""
"axon-tracing-opentelemetry","Axon Extension - Tracing - OpenTelemetry","provided",false,"com.google.code.findbugs","jsr305",""
"axon-tracing-opentelemetry","Axon Extension - Tracing - OpenTelemetry","test",false,"org.axonframework","axon-common",""
"axon-tracing-opentelemetry","Axon Extension - Tracing - OpenTelemetry","default",false,"jakarta.annotation","jakarta.annotation-api",""
"axon-tracing-opentelemetry","Axon Extension - Tracing - OpenTelemetry","default",false,"org.axonframework","axon-messaging",""
"axon-tracing-opentelemetry","Axon Extension - Tracing - OpenTelemetry","default",false,"io.opentelemetry","opentelemetry-api",""
"axon-update","Axon Framework - Update","test",false,"org.axonframework","axon-common",""
"axon-update","Axon Framework - Update","default",false,"org.axonframework","axon-common",""
"axon-update","Axon Framework - Update","default",false,"jakarta.annotation","jakarta.annotation-api",""
"axoniq-spring-boot-autoconfigure","Axoniq Framework - Spring Boot Autoconfigure","default",false,"org.axonframework.extensions.spring","axon-spring-boot-starter",""
"axoniq-spring-boot-autoconfigure","Axoniq Framework - Spring Boot Autoconfigure","test",false,"org.axonframework","axon-messaging",""
"axoniq-spring-boot-autoconfigure","Axoniq Framework - Spring Boot Autoconfigure","default",true,"jakarta.persistence","jakarta.persistence-api",""
"axoniq-spring-boot-autoconfigure","Axoniq Framework - Spring Boot Autoconfigure","test",false,"org.springframework.boot","spring-boot-starter-test",""
"axoniq-spring-boot-autoconfigure","Axoniq Framework - Spring Boot Autoconfigure","test",false,"org.springframework.boot","spring-boot-starter-data-jpa",""
"axoniq-spring-boot-autoconfigure","Axoniq Framework - Spring Boot Autoconfigure","compile",false,"io.axoniq.framework","axoniq-testcontainer",""
"axoniq-spring-boot-autoconfigure","Axoniq Framework - Spring Boot Autoconfigure","default",true,"io.axoniq.framework","axoniq-postgresql",""
"axoniq-spring-boot-autoconfigure","Axoniq Framework - Spring Boot Autoconfigure","test",false,"org.hibernate.orm","hibernate-core",""
"axoniq-spring-boot-autoconfigure","Axoniq Framework - Spring Boot Autoconfigure","default",false,"io.axoniq.framework","axon-server-connector",""
"axoniq-spring-boot-autoconfigure","Axoniq Framework - Spring Boot Autoconfigure","default",true,"org.springframework.boot","spring-boot-actuator",""
"axoniq-spring-boot-autoconfigure","Axoniq Framework - Spring Boot Autoconfigure","default",true,"org.springframework.boot","spring-boot-docker-compose",""
"axoniq-spring-boot-autoconfigure","Axoniq Framework - Spring Boot Autoconfigure","test",false,"org.axonframework","axon-common",""
"axoniq-spring-boot-autoconfigure","Axoniq Framework - Spring Boot Autoconfigure","test",false,"io.axoniq.framework","axoniq-dead-letter",""
"axoniq-spring-boot-autoconfigure","Axoniq Framework - Spring Boot Autoconfigure","default",true,"org.testcontainers","testcontainers",""
"axoniq-spring-boot-autoconfigure","Axoniq Framework - Spring Boot Autoconfigure","test",false,"org.testcontainers","testcontainers-junit-jupiter",""
"axoniq-spring-boot-autoconfigure","Axoniq Framework - Spring Boot Autoconfigure","test",false,"org.hsqldb","hsqldb",""
"axoniq-spring-boot-autoconfigure","Axoniq Framework - Spring Boot Autoconfigure","default",true,"org.springframework.boot","spring-boot-testcontainers",""
"axoniq-spring-boot-autoconfigure","Axoniq Framework - Spring Boot Autoconfigure","default",true,"io.axoniq.framework","axoniq-dead-letter",""
"axoniq-spring-boot-autoconfigure","Axoniq Framework - Spring Boot Autoconfigure","default",true,"org.springframework.boot","spring-boot-autoconfigure",""
