"externalModuleName","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: domains/external-dependencies/queries/External_module_usage_spread_for_Typescript.cypher"
"@types/pick",4,4,1,1,1,1,0,6,1,3,1,1.5,1,0.15600624024961,0.46801872074883,0.15600624024961,0.23400936037441497,0.15600624024961,"routes,plugin,vite,config",""
"@cloudflare/workers-types",3,44,4,22,18,14.666666666666668,9.451631252505218,10,1,5,4,3.333333333333333,2.0816659994661326,0.15600624024961,0.7800312012480499,0.62402496099844,0.5200208008320333,0.324752886032158,"react-router-cloudflare,worker,workersKVStorage",""
"@types/babel__core",3,8,2,3,3,2.6666666666666665,0.5773502691896257,3,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"plugin,vite,useJavascript",""
"@types/babel__traverse",3,17,2,11,4,5.666666666666666,4.725815626252609,3,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"remove-exports,styles,with-props",""
"lexer",3,4,1,2,1,1.3333333333333333,0.5773502691896258,5,1,2,2,1.6666666666666667,0.5773502691896258,0.15600624024961,0.31201248049922,0.31201248049922,0.26001040041601664,0.09007024480337375,"vite,plugin,virtual-route-modules",""
"node:process",3,3,1,1,1,1,0,7,1,4,2,2.3333333333333335,1.5275252316519465,0.15600624024961,0.62402496099844,0.31201248049922,0.3640145605824233,0.23830346827643475,"create-react-router,prompts-prompt-base,utils",""
"node:url",3,4,1,2,1,1.3333333333333333,0.5773502691896257,3,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"copy-template,plugin,vite",""
"@architect/functions",2,4,2,2,2,2,0,2,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"react-router-architect,arcTableSessionStorage",""
"@architect/tables",2,6,3,3,3,3,0,2,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"react-router-architect,arcTableSessionStorage",""
"@babel/babel-parser",2,3,1,2,1.5,1.5,0.7071067811865476,2,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"remove-exports,with-props",""
"@mjackson/node-fetch-server",2,4,2,2,2,2,0,4,2,2,2,2,0,0.31201248049922,0.31201248049922,0.31201248049922,0.31201248049922,0,"react-router-node,server",""
"@types/api-gateway-proxy",2,17,3,14,8.5,8.5,7.7781745930520225,7,2,5,3.5,3.5,2.1213203435596424,0.31201248049922,0.7800312012480499,0.5460218408736349,0.5460218408736349,0.3309392111637508,"react-router-architect,server",""
"@types/express",2,18,3,15,9,9,8.48528137423857,6,2,4,3,3,1.4142135623730951,0.31201248049922,0.62402496099844,0.46801872074883,0.46801872074883,0.22062614077583387,"react-router-express,server",""
"@types/express-serve-static-core",2,2,1,1,1,1,0,5,2,3,2.5,2.5,0.7071067811865476,0.31201248049922,0.46801872074883,0.39001560062402496,0.39001560062402496,0.11031307038791698,"react-router-express,server",""
"@types/handler",2,4,2,2,2,2,0,2,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"react-router-architect,server",""
"@types/jsesc",2,2,1,1,1,1,0,2,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"plugin,vite",""
"@types/qs",2,2,1,1,1,1,0,5,2,3,2.5,2.5,0.7071067811865476,0.31201248049922,0.46801872074883,0.39001560062402496,0.39001560062402496,0.11031307038791698,"react-router-express,server",""
"@types/stream",2,10,5,5,5,5,0,6,3,3,3,3,0,0.46801872074883,0.46801872074883,0.46801872074883,0.46801872074883,0,"react-router-node,stream",""
"async_hooks",2,2,1,1,1,1,0,8,4,4,4,4,0,0.62402496099844,0.62402496099844,0.62402496099844,0.62402496099844,0,"server,react-router",""
"cli",2,2,1,1,1,1,0,2,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"cloudflare-dev-proxy,cloudflare",""
"crypto",2,4,2,2,2,2,0,2,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"plugin,vite",""
"esm",2,6,1,5,3,3,2.8284271247461903,2,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"config,flatRoutes",""
"module-runner",2,2,1,1,1,1,0,2,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"plugin,vite",""
"node:crypto",2,2,1,1,1,1,0,2,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"plugin,vite",""
"rollup",2,6,3,3,3,3,0,2,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"plugin,vite",""
"url",2,2,1,1,1,1,0,2,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"plugin,vite",""
"@types/APIGatewayProxyEventHeaders.""content-type",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"server",""
"@types/APIGatewayProxyEventHeaders.""x-forwarded-host",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"server",""
"@types/events",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"prompts-prompt-base",""
"@types/isEqual",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"config",""
"@types/kebabCase",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"plugin",""
"@types/semver",1,2,2,2,2,2,0,1,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"run",""
"@types/timers",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"prompts-select",""
"arg",1,2,2,2,2,2,0,1,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"run",""
"arg.Result.""--no-typescript",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"run",""
"exit-hook",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"commands",""
"inspector",1,3,3,3,3,3,0,3,3,3,3,3,0,0.46801872074883,0.46801872074883,0.46801872074883,0.46801872074883,0,"profiler",""
"node:child_process",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"config",""
"node:inspector",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"profiler",""
"node:readline",1,3,3,3,3,3,0,1,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"prompts-prompt-base",""
"p-map",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"prerender",""
"prettier",1,2,2,2,2,2,0,1,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"useJavascript",""
"server",1,4,4,4,4,4,0,2,2,2,2,2,0,0.31201248049922,0.31201248049922,0.31201248049922,0.31201248049922,0,"vite-node",""
"types",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"utils",""
