"dependencyName","usingPackageCount","dependencyVersionCount","packageNameExamples","dependencyVersionExamples","packageDirectory","Source Cypher File: domains/external-dependencies/queries/Package_json_dependencies_occurrence.cypher"
"serialize-javascript",7,0,"@playground/vite-plugin-cloudflare,integration,integration-vite-6-template,integration-vite-5-template,integration-vite-plugin-cloudflare-template,integration-vite-7-beta-template,integration-vite-rolldown-template","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/vite-plugin-cloudflare,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration/helpers/vite-6-template,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration/helpers/vite-5-template",""
"cross-env",6,0,"integration-rsc-vite,@playground/framework,@playground/framework-rolldown-vite,ssr,ssr-data-router,multi-app","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration/helpers/rsc-vite,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/middleware,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/framework-rolldown-vite,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/examples/ssr",""
"@mjackson/node-fetch-server",6,0,"integration-rsc-vite,@playground/rsc-vite-framework,@playground/rsc-vite,@react-router/node,@react-router/serve,integration-rsc-vite-framework","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration/helpers/rsc-vite,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/rsc-vite-framework,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/rsc-vite,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/packages/react-router-node",""
"@vanilla-extract/vite-plugin",5,0,"integration,integration-vite-6-template,integration-vite-5-template,integration-vite-7-beta-template,integration-vite-rolldown-template","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration/helpers/vite-6-template,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration/helpers/vite-5-template,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration/helpers/vite-7-beta-template",""
"@vanilla-extract/css",5,0,"integration,integration-vite-6-template,integration-vite-5-template,integration-vite-7-beta-template,integration-vite-rolldown-template","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration/helpers/vite-6-template,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration/helpers/vite-5-template,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration/helpers/vite-7-beta-template",""
"react-server-dom-webpack",4,0,"integration-rsc-vite,@playground/rsc-vite-framework,@playground/rsc-vite,integration-rsc-vite-framework","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration/helpers/rsc-vite,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/rsc-vite-framework,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/rsc-vite,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration/helpers/rsc-vite-framework",""
"semver",4,0,"@remix-run/react-router,integration,create-react-router,@react-router/dev","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/packages/create-react-router,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/packages/react-router-dev",""
"morgan",3,0,"@playground/framework,@playground/framework-express,@react-router/serve","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/middleware,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/framework-express,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/packages/react-router-serve",""
"picocolors",3,0,"@remix-run/react-router,create-react-router,@react-router/dev","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/packages/create-react-router,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/packages/react-router-dev",""
"prettier",3,0,"@remix-run/react-router,integration,@react-router/dev","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/packages/react-router-dev",""
"@mdx-js/rollup",2,0,"@remix-run/react-router,integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration",""
"@playwright/test",2,0,"@remix-run/react-router,integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration",""
"vite",2,0,"@remix-run/react-router,integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration",""
"@babel/preset-typescript",2,0,"@remix-run/react-router,@react-router/dev","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/packages/react-router-dev",""
"@babel/core",2,0,"@remix-run/react-router,@react-router/dev","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/packages/react-router-dev",""
"typescript",2,0,"@remix-run/react-router,integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration",""
"execa",2,0,"integration,create-react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/packages/create-react-router",""
"dedent",2,0,"integration,@react-router/dev","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/packages/react-router-dev",""
"pathe",2,0,"integration,@react-router/dev","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/packages/react-router-dev",""
"get-port",2,0,"integration,@react-router/serve","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/packages/react-router-serve",""
"strip-ansi",2,0,"integration,create-react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/packages/create-react-router",""
"arg",2,0,"create-react-router,@react-router/dev","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/packages/create-react-router,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/packages/react-router-dev",""
"remix-utils",1,0,"@playground/rsc-vite-framework","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/rsc-vite-framework",""
"remark-stringify",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"eslint-plugin-jest",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"dox",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"babel-plugin-dev-expression",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"prompts",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"@babel/preset-react",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"eslint-plugin-flowtype",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"@types/react-dom",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"eslint-plugin-jsx-a11y",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"remark-gfm",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"eslint-plugin-jsdoc",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"@changesets/cli",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"fast-glob",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"eslint-plugin-react",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"@typescript-eslint/parser",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"eslint-config-react-app",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"unist-util-remove",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"remark-parse",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"typedoc",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"@typescript-eslint/eslint-plugin",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"@types/react-test-renderer",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"eslint-plugin-import",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"@types/react",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"eslint-plugin-react-hooks",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"@remix-run/changelog-github",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"jsonfile",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"@types/jest",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"unified",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"@types/jsdom",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"eslint",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"@babel/preset-env",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"babel-jest",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"jest",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"@manypkg/get-packages",1,0,"@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2",""
"jsurl",1,0,"custom-query-parse-serialization","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/examples/custom-query-parsing",""
"@remix-run/router",1,0,"ssr-data-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/examples/ssr-data-router",""
"history",1,0,"ssr-data-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/examples/ssr-data-router",""
"@types/dedent",1,0,"integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration",""
"strip-indent",1,0,"integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration",""
"postcss",1,0,"integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration",""
"@types/shelljs",1,0,"integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration",""
"shelljs",1,0,"integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration",""
"vite-tsconfig-paths",1,0,"integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration",""
"@react-router/dev",1,0,"integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration",""
"@types/glob",1,0,"integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration",""
"@types/cross-spawn",1,0,"integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration",""
"postcss-import",1,0,"integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration",""
"type-fest",1,0,"integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration",""
"vite-env-only",1,0,"integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration",""
"cross-spawn",1,0,"integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration",""
"@types/wait-on",1,0,"integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration",""
"glob",1,0,"integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration",""
"@types/semver",1,0,"integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration",""
"@types/express",1,0,"integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration",""
"cheerio",1,0,"integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration",""
"wait-on",1,0,"integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration",""
"@reach/dialog",1,0,"modal-route-with-outlet","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/examples/modal-route-with-outlet",""
"@reach/visually-hidden",1,0,"custom-filter-link","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/examples/custom-filter-link",""
"localforage",1,0,"notes","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/examples/notes",""
