"externalModuleName","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: domains/external-dependencies/queries/External_module_usage_spread_for_Typescript.cypher"
"arg",1,2,2,2,2,2,0,1,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"run",""
"arg.Result.""--no-typescript",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"run",""
"exit-hook",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"commands",""
"inspector",1,3,3,3,3,3,0,3,3,3,3,3,0,0.4629629629629629,0.4629629629629629,0.4629629629629629,0.4629629629629629,0,"profiler",""
"node:child_process",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"config",""
"node:inspector",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"profiler",""
"node:readline",1,3,3,3,3,3,0,1,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"prompts-prompt-base",""
"p-map",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"prerender",""
"prettier",1,2,2,2,2,2,0,1,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"useJavascript",""
"server",1,4,4,4,4,4,0,2,2,2,2,2,0,0.30864197530864196,0.30864197530864196,0.30864197530864196,0.30864197530864196,0,"vite-node",""
"types",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"utils",""
