"externalPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: domains/external-dependencies/queries/External_package_usage_overall.cypher"
"io.axoniq.framework.messaging.commandhandling.distributed",3,4,7,26,124,1307,"DistributedCommandBusConfiguration,PayloadConvertingCommandBusConnector,CommandBusConnector,CommandBusConnector$ResultCallback,CommandBusConnector$Handler",""
"io.axoniq.framework.messaging.queryhandling.distributed",3,5,8,28,124,1307,"DistributedQueryBusConfiguration,QueryBusConnector$Handler,QueryBusConnector,QueryBusConnector$UpdateCallback,PayloadConvertingQueryBusConnector",""
"io.micrometer.core.instrument",3,13,37,141,124,1307,"Tag,Tags,MeterRegistry,Counter,Clock,Timer,Timer$Builder,Gauge$Builder,Gauge",""
"org.hamcrest",3,22,44,196,124,1307,"Description,StringDescription,Matcher,CoreMatchers,TypeSafeMatcher,BaseMatcher",""
"org.reactivestreams",3,6,8,27,124,1307,"Publisher,Subscription,Subscriber",""
"org.springframework.boot.actuate.health",3,4,7,24,124,1307,"Status,SimpleStatusAggregator,Health$Builder,AbstractHealthIndicator",""
"com.fasterxml.jackson.databind",2,6,11,56,124,1307,"ObjectMapper,JsonNode,JavaType,SerializationFeature",""
"com.fasterxml.jackson.databind.node",2,3,5,28,124,1307,"ObjectNode,JsonNodeType,ArrayNode",""
"io.axoniq.axonserver.connector.event",2,6,9,40,124,1307,"SnapshotChannel,EventChannel,AppendEventsTransaction,AggregateEventStream,DcbEventChannel$AppendEventsTransaction,DcbEventChannel,EventStream",""
"io.axoniq.axonserver.grpc.event.dcb",2,7,36,132,124,1307,"Snapshot$Builder,AddSnapshotRequest,Snapshot,AddSnapshotRequest$Builder,GetLastSnapshotRequest$Builder,GetLastSnapshotResponse,GetLastSnapshotRequest,AddSnapshotResponse,Event$Builder",""
"io.micrometer.core.instrument.simple",2,2,2,4,124,1307,"SimpleMeterRegistry",""
"org.springframework.boot.autoconfigure",2,7,10,10,124,1307,"AutoConfiguration,AutoConfigureBefore,AutoConfigureAfter",""
"org.springframework.boot.autoconfigure.condition",2,7,18,29,124,1307,"ConditionalOnClass,ConditionalOnProperty,ConditionalOnMissingBean,ConditionalOnBean",""
"org.springframework.context.annotation",2,7,7,15,124,1307,"Bean",""
"IdTypeParameterResolver",1,1,1,1,124,1307,"IdTypeParameterResolver",""
"ScannedEntityCreator",1,1,1,4,124,1307,"ScannedEntityCreator",""
"WrappedEventCriteriaBuilderMethod",1,1,1,1,124,1307,"WrappedEventCriteriaBuilderMethod",""
"com.fasterxml.jackson.core",1,1,1,1,124,1307,"JsonProcessingException",""
"io.axoniq.axonserver.connector.admin",1,1,1,3,124,1307,"AdminChannel",""
"io.axoniq.axonserver.connector.command",1,1,1,3,124,1307,"CommandChannel",""
"io.axoniq.axonserver.connector.impl",1,1,1,3,124,1307,"ServerAddress",""
"io.axoniq.axonserver.connector.query",1,3,6,19,124,1307,"SubscriptionQueryResult,QueryDefinition,QueryChannel,QueryHandler$UpdateHandler,QueryHandler",""
"io.axoniq.axonserver.grpc.command",1,3,8,64,124,1307,"CommandResponse,Command,Command$Builder,CommandResponse$Builder",""
"io.axoniq.axonserver.grpc.event",1,3,5,31,124,1307,"Event$Builder,Event,ConfirmationWithConsistencyMarker,EventWithToken",""
"io.axoniq.axonserver.grpc.query",1,5,14,98,124,1307,"QueryResponse,QueryUpdate,SubscriptionQuery,QueryRequest,QueryResponse$Builder,QueryRequest$Builder,QueryUpdate$Builder",""
"io.axoniq.framework.messaging.deadletter",1,2,2,2,124,1307,"SequencedDeadLetterQueue",""
"io.axoniq.framework.messaging.eventhandling.deadletter",1,3,4,15,124,1307,"SequencedDeadLetterQueueFactory,DeadLetterQueueConfiguration",""
"io.axoniq.framework.messaging.eventhandling.deadletter.jdbc",1,1,3,12,124,1307,"JdbcSequencedDeadLetterQueue,DeadLetterSchema,JdbcSequencedDeadLetterQueue$Builder",""
"io.axoniq.framework.messaging.eventhandling.deadletter.jpa",1,1,2,7,124,1307,"JpaSequencedDeadLetterQueue$Builder,JpaSequencedDeadLetterQueue",""
"io.axoniq.framework.postgresql",1,2,2,2,124,1307,"PostgresqlEventStorageEngine,PostgresqlConfigurationEnhancer",""
"io.axoniq.framework.testcontainer",1,2,2,6,124,1307,"AxonServerContainer",""
"io.grpc.netty.shaded.io.grpc.netty",1,1,1,1,124,1307,"GrpcSslContexts",""
"io.grpc.netty.shaded.io.netty.handler.ssl",1,1,1,2,124,1307,"SslContextBuilder",""
"io.grpc.stub",1,1,2,5,124,1307,"ClientCallStreamObserver,ClientResponseObserver",""
"io.opentelemetry.api",1,1,1,2,124,1307,"GlobalOpenTelemetry",""
"io.opentelemetry.api.trace",1,3,9,47,124,1307,"Span,StatusCode,SpanContext,SpanBuilder,Tracer,SpanKind",""
"io.opentelemetry.context",1,2,2,7,124,1307,"Scope,Context",""
"io.opentelemetry.context.propagation",1,4,9,16,124,1307,"TextMapSetter,TextMapGetter,TextMapPropagator,ContextPropagators",""
"jakarta.validation",1,2,5,16,124,1307,"Validation,ConstraintViolation,Validator,ValidatorFactory",""
"javax.cache",1,1,1,13,124,1307,"Cache",""
"javax.cache.configuration",1,2,3,9,124,1307,"CacheEntryListenerConfiguration,Factory",""
"javax.cache.event",1,1,8,26,124,1307,"CacheEntryListenerException,CacheEntryExpiredListener,CacheEntryRemovedListener,CacheEntryCreatedListener,CacheEntryUpdatedListener,CacheEntryListener,CacheEntryEvent,CacheEntryEventFilter",""
"org.apache.avro",1,4,16,54,124,1307,"Schema,SchemaCompatibility$Incompatibility,AvroRuntimeException,SchemaNormalization,SchemaCompatibility$SchemaIncompatibilityType,InvalidAvroMagicException,SchemaCompatibility$SchemaCompatibilityResult,SchemaCompatibility$SchemaCompatibilityType,InvalidNumberEncodingException",""
"org.apache.avro.generic",1,6,7,29,124,1307,"GenericDatumReader,GenericRecord,GenericData",""
"org.apache.avro.io",1,1,1,3,124,1307,"DecoderFactory",""
"org.apache.avro.message",1,6,8,28,124,1307,"SchemaStore,BinaryMessageEncoder,BinaryMessageDecoder,BadHeaderException",""
"org.apache.avro.specific",1,2,4,14,124,1307,"SpecificData,SpecificRecordBase",""
"org.apache.commons.lang3.tuple",1,1,1,4,124,1307,"Pair",""
"org.awaitility",1,1,1,1,124,1307,"Awaitility",""
"org.awaitility.core",1,1,1,2,124,1307,"ConditionFactory",""
"org.axonframework.extension.springboot.autoconfig",1,1,1,1,124,1307,"AxonAutoConfiguration",""
"org.axonframework.extension.springboot.util",1,1,1,1,124,1307,"RegisterDefaultEntities",""
"org.ehcache.config",1,1,1,2,124,1307,"CacheRuntimeConfiguration",""
"org.ehcache.core",1,1,1,13,124,1307,"Ehcache",""
"org.ehcache.event",1,3,8,30,124,1307,"EventOrdering,EventFiring,EventType,CacheEventListener,CacheEvent",""
"org.junit.jupiter.api.extension",1,1,8,28,124,1307,"AfterEachCallback,ExtensionContext$Store,ParameterResolutionException,ExtensionContext$Namespace,ParameterResolver,BeforeEachCallback,ParameterContext,ExtensionContext",""
"org.springframework.beans",1,1,1,1,124,1307,"BeansException",""
"org.springframework.boot.autoconfigure.service.connection",1,3,3,3,124,1307,"ConnectionDetails",""
"org.springframework.boot.docker.compose.core",1,1,2,5,124,1307,"RunningService,ConnectionPorts",""
"org.springframework.boot.docker.compose.service.connection",1,1,2,5,124,1307,"DockerComposeConnectionSource,DockerComposeConnectionDetailsFactory",""
"org.springframework.boot.testcontainers.service.connection",1,2,4,9,124,1307,"ContainerConnectionDetailsFactory$ContainerConnectionDetails,ContainerConnectionSource,ContainerConnectionDetailsFactory",""
"org.springframework.context",1,1,2,4,124,1307,"ApplicationContext,ApplicationContextAware",""
"org.springframework.lang",1,1,1,1,124,1307,"Nullable",""
"reactor.core.scheduler",1,1,2,2,124,1307,"Schedulers,Scheduler",""
"reactor.util.concurrent",1,2,2,4,124,1307,"Queues",""
"tools.jackson.core",1,3,3,6,124,1307,"JacksonException",""
"tools.jackson.databind",1,5,8,39,124,1307,"JsonNode,JavaType,ObjectMapper",""
"tools.jackson.databind.json",1,1,2,5,124,1307,"JsonMapper,JsonMapper$Builder",""
"tools.jackson.databind.node",1,2,3,12,124,1307,"JsonNodeType,ObjectNode",""
