"externalPackageName","numberOfArtifacts","sumNumberOfPackages","minNumberOfPackages","maxNumberOfPackages","medNumberOfPackages","avgNumberOfPackages","stdNumberOfPackages","minNumberOfPackagesPercentage","maxNumberOfPackagesPercentage","medNumberOfPackagesPercentage","avgNumberOfPackagesPercentage","stdNumberOfPackagesPercentage","sumNumberOfTypes","minNumberOfTypes","maxNumberOfTypes","medNumberOfTypes","avgNumberOfTypes","stdNumberOfTypes","minNumberOfTypesPercentage","maxNumberOfTypesPercentage","medNumberOfTypesPercentage","avgNumberOfTypesPercentage","stdNumberOfTypesPercentage","someArtifactNames","Source Cypher File: domains/external-dependencies/queries/External_package_usage_spread.cypher"
"WrappedEventCriteriaBuilderMethod",1,1,1,1,1,1,0,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,0,1,1,1,1,1,0,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0,"axon-eventsourcing-5.1.2",""
"com.fasterxml.jackson.annotation",1,1,1,1,1,1,0,1.7543859649122806,1.7543859649122806,1.7543859649122806,1.7543859649122806,0,2,2,2,2,2,0,0.315955766192733,0.315955766192733,0.315955766192733,0.315955766192733,0,"axon-messaging-5.1.2",""
"com.fasterxml.jackson.core",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,2.4390243902439024,2.4390243902439024,2.4390243902439024,2.4390243902439024,0,"axon-conversion-5.1.2",""
"com.google.protobuf",1,6,6,6,6,6,0,60,60,60,60,0,9,9,9,9,9,0,11.39240506329114,11.39240506329114,11.39240506329114,11.39240506329114,0,"axon-server-connector-5.1.2",""
"io.axoniq.axonserver.connector.admin",1,1,1,1,1,1,0,10,10,10,10,0,1,1,1,1,1,0,1.2658227848101267,1.2658227848101267,1.2658227848101267,1.2658227848101267,0,"axon-server-connector-5.1.2",""
"io.axoniq.axonserver.connector.command",1,1,1,1,1,1,0,10,10,10,10,0,1,1,1,1,1,0,1.2658227848101267,1.2658227848101267,1.2658227848101267,1.2658227848101267,0,"axon-server-connector-5.1.2",""
"io.axoniq.axonserver.connector.event",1,2,2,2,2,2,0,20,20,20,20,0,6,6,6,6,6,0,7.59493670886076,7.59493670886076,7.59493670886076,7.59493670886076,0,"axon-server-connector-5.1.2",""
"io.axoniq.axonserver.connector.impl",1,1,1,1,1,1,0,10,10,10,10,0,1,1,1,1,1,0,1.2658227848101267,1.2658227848101267,1.2658227848101267,1.2658227848101267,0,"axon-server-connector-5.1.2",""
"io.axoniq.axonserver.connector.query",1,1,1,1,1,1,0,10,10,10,10,0,3,3,3,3,3,0,3.79746835443038,3.79746835443038,3.79746835443038,3.79746835443038,0,"axon-server-connector-5.1.2",""
"io.axoniq.axonserver.grpc",1,8,8,8,8,8,0,80,80,80,80,0,15,15,15,15,15,0,18.9873417721519,18.9873417721519,18.9873417721519,18.9873417721519,0,"axon-server-connector-5.1.2",""
"io.axoniq.axonserver.grpc.command",1,1,1,1,1,1,0,10,10,10,10,0,3,3,3,3,3,0,3.79746835443038,3.79746835443038,3.79746835443038,3.79746835443038,0,"axon-server-connector-5.1.2",""
"io.axoniq.axonserver.grpc.control",1,3,3,3,3,3,0,30,30,30,30,0,6,6,6,6,6,0,7.59493670886076,7.59493670886076,7.59493670886076,7.59493670886076,0,"axon-server-connector-5.1.2",""
"io.axoniq.axonserver.grpc.event",1,1,1,1,1,1,0,10,10,10,10,0,3,3,3,3,3,0,3.79746835443038,3.79746835443038,3.79746835443038,3.79746835443038,0,"axon-server-connector-5.1.2",""
"io.axoniq.axonserver.grpc.event.dcb",1,2,2,2,2,2,0,20,20,20,20,0,7,7,7,7,7,0,8.860759493670887,8.860759493670887,8.860759493670887,8.860759493670887,0,"axon-server-connector-5.1.2",""
"io.axoniq.axonserver.grpc.query",1,1,1,1,1,1,0,10,10,10,10,0,5,5,5,5,5,0,6.329113924050633,6.329113924050633,6.329113924050633,6.329113924050633,0,"axon-server-connector-5.1.2",""
"io.axoniq.framework.messaging.deadletter",1,1,1,1,1,1,0,20,20,20,20,0,2,2,2,2,2,0,7.6923076923076925,7.6923076923076925,7.6923076923076925,7.6923076923076925,0,"axoniq-spring-boot-autoconfigure-5.1.2",""
"io.axoniq.framework.messaging.eventhandling.deadletter",1,1,1,1,1,1,0,20,20,20,20,0,3,3,3,3,3,0,11.538461538461538,11.538461538461538,11.538461538461538,11.538461538461538,0,"axoniq-spring-boot-autoconfigure-5.1.2",""
"io.axoniq.framework.messaging.eventhandling.deadletter.jdbc",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,3.8461538461538463,3.8461538461538463,3.8461538461538463,3.8461538461538463,0,"axoniq-spring-boot-autoconfigure-5.1.2",""
"io.axoniq.framework.messaging.eventhandling.deadletter.jpa",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,3.8461538461538463,3.8461538461538463,3.8461538461538463,3.8461538461538463,0,"axoniq-spring-boot-autoconfigure-5.1.2",""
"io.axoniq.framework.postgresql",1,1,1,1,1,1,0,20,20,20,20,0,2,2,2,2,2,0,7.6923076923076925,7.6923076923076925,7.6923076923076925,7.6923076923076925,0,"axoniq-spring-boot-autoconfigure-5.1.2",""
"io.axoniq.framework.testcontainer",1,1,1,1,1,1,0,20,20,20,20,0,2,2,2,2,2,0,7.6923076923076925,7.6923076923076925,7.6923076923076925,7.6923076923076925,0,"axoniq-spring-boot-autoconfigure-5.1.2",""
"io.grpc",1,6,6,6,6,6,0,60,60,60,60,0,8,8,8,8,8,0,10.126582278481013,10.126582278481013,10.126582278481013,10.126582278481013,0,"axon-server-connector-5.1.2",""
"io.grpc.netty.shaded.io.grpc.netty",1,1,1,1,1,1,0,10,10,10,10,0,1,1,1,1,1,0,1.2658227848101267,1.2658227848101267,1.2658227848101267,1.2658227848101267,0,"axon-server-connector-5.1.2",""
"io.grpc.netty.shaded.io.netty.handler.ssl",1,1,1,1,1,1,0,10,10,10,10,0,1,1,1,1,1,0,1.2658227848101267,1.2658227848101267,1.2658227848101267,1.2658227848101267,0,"axon-server-connector-5.1.2",""
"io.grpc.stub",1,1,1,1,1,1,0,10,10,10,10,0,1,1,1,1,1,0,1.2658227848101267,1.2658227848101267,1.2658227848101267,1.2658227848101267,0,"axon-server-connector-5.1.2",""
"io.micrometer.core.instrument",1,3,3,3,3,3,0,100,100,100,100,0,13,13,13,13,13,0,68.42105263157896,68.42105263157896,68.42105263157896,68.42105263157896,0,"axon-metrics-micrometer-5.1.2",""
"io.micrometer.core.instrument.simple",1,2,2,2,2,2,0,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,0,2,2,2,2,2,0,10.526315789473685,10.526315789473685,10.526315789473685,10.526315789473685,0,"axon-metrics-micrometer-5.1.2",""
"io.opentelemetry.api",1,1,1,1,1,1,0,100,100,100,100,0,1,1,1,1,1,0,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,0,"axon-tracing-opentelemetry-5.1.2",""
"io.opentelemetry.api.trace",1,1,1,1,1,1,0,100,100,100,100,0,3,3,3,3,3,0,50,50,50,50,0,"axon-tracing-opentelemetry-5.1.2",""
"io.opentelemetry.context",1,1,1,1,1,1,0,100,100,100,100,0,2,2,2,2,2,0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,0,"axon-tracing-opentelemetry-5.1.2",""
"io.opentelemetry.context.propagation",1,1,1,1,1,1,0,100,100,100,100,0,4,4,4,4,4,0,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,0,"axon-tracing-opentelemetry-5.1.2",""
"jakarta.validation",1,1,1,1,1,1,0,1.7543859649122806,1.7543859649122806,1.7543859649122806,1.7543859649122806,0,2,2,2,2,2,0,0.315955766192733,0.315955766192733,0.315955766192733,0.315955766192733,0,"axon-messaging-5.1.2",""
"javax.cache",1,1,1,1,1,1,0,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,0,1,1,1,1,1,0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0,"axon-common-5.1.2",""
"javax.cache.configuration",1,1,1,1,1,1,0,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,0,2,2,2,2,2,0,1.1428571428571428,1.1428571428571428,1.1428571428571428,1.1428571428571428,0,"axon-common-5.1.2",""
"javax.cache.event",1,1,1,1,1,1,0,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,0,1,1,1,1,1,0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0,"axon-common-5.1.2",""
"org.apache.avro",1,1,1,1,1,1,0,20,20,20,20,0,4,4,4,4,4,0,9.75609756097561,9.75609756097561,9.75609756097561,9.75609756097561,0,"axon-conversion-5.1.2",""
"org.apache.avro.generic",1,1,1,1,1,1,0,20,20,20,20,0,6,6,6,6,6,0,14.634146341463413,14.634146341463413,14.634146341463413,14.634146341463413,0,"axon-conversion-5.1.2",""
"org.apache.avro.io",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,2.4390243902439024,2.4390243902439024,2.4390243902439024,2.4390243902439024,0,"axon-conversion-5.1.2",""
"org.apache.avro.message",1,1,1,1,1,1,0,20,20,20,20,0,6,6,6,6,6,0,14.634146341463413,14.634146341463413,14.634146341463413,14.634146341463413,0,"axon-conversion-5.1.2",""
"org.apache.avro.specific",1,1,1,1,1,1,0,20,20,20,20,0,2,2,2,2,2,0,4.878048780487805,4.878048780487805,4.878048780487805,4.878048780487805,0,"axon-conversion-5.1.2",""
"org.apache.commons.lang3.tuple",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,2.4390243902439024,2.4390243902439024,2.4390243902439024,2.4390243902439024,0,"axon-conversion-5.1.2",""
"org.awaitility",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,1.2658227848101267,1.2658227848101267,1.2658227848101267,1.2658227848101267,0,"axon-test-5.1.2",""
"org.awaitility.core",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,1.2658227848101267,1.2658227848101267,1.2658227848101267,1.2658227848101267,0,"axon-test-5.1.2",""
"org.axonframework.extension.springboot.autoconfig",1,1,1,1,1,1,0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,0,1,1,1,1,1,0,5.2631578947368425,5.2631578947368425,5.2631578947368425,5.2631578947368425,0,"axon-metrics-micrometer-5.1.2",""
"org.ehcache.config",1,1,1,1,1,1,0,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,0,1,1,1,1,1,0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0,"axon-common-5.1.2",""
"org.ehcache.core",1,1,1,1,1,1,0,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,0,1,1,1,1,1,0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0,"axon-common-5.1.2",""
"org.ehcache.event",1,1,1,1,1,1,0,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,0,3,3,3,3,3,0,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857142,0,"axon-common-5.1.2",""
"org.hamcrest",1,3,3,3,3,3,0,60,60,60,60,0,22,22,22,22,22,0,27.848101265822788,27.848101265822788,27.848101265822788,27.848101265822788,0,"axon-test-5.1.2",""
"org.junit.jupiter.api.extension",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,1.2658227848101267,1.2658227848101267,1.2658227848101267,1.2658227848101267,0,"axon-test-5.1.2",""
"org.reactivestreams",1,3,3,3,3,3,0,5.263157894736842,5.263157894736842,5.263157894736842,5.263157894736842,0,6,6,6,6,6,0,0.9478672985781991,0.9478672985781991,0.9478672985781991,0.9478672985781991,0,"axon-messaging-5.1.2",""
"org.springframework.beans",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,3.8461538461538463,3.8461538461538463,3.8461538461538463,3.8461538461538463,0,"axoniq-spring-boot-autoconfigure-5.1.2",""
"org.springframework.boot.actuate.health",1,3,3,3,3,3,0,60,60,60,60,0,4,4,4,4,4,0,15.384615384615385,15.384615384615385,15.384615384615385,15.384615384615385,0,"axoniq-spring-boot-autoconfigure-5.1.2",""
"org.springframework.boot.autoconfigure.service.connection",1,1,1,1,1,1,0,20,20,20,20,0,3,3,3,3,3,0,11.538461538461538,11.538461538461538,11.538461538461538,11.538461538461538,0,"axoniq-spring-boot-autoconfigure-5.1.2",""
"org.springframework.boot.docker.compose.core",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,3.8461538461538463,3.8461538461538463,3.8461538461538463,3.8461538461538463,0,"axoniq-spring-boot-autoconfigure-5.1.2",""
"org.springframework.boot.docker.compose.service.connection",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,3.8461538461538463,3.8461538461538463,3.8461538461538463,3.8461538461538463,0,"axoniq-spring-boot-autoconfigure-5.1.2",""
"org.springframework.boot.testcontainers.service.connection",1,1,1,1,1,1,0,20,20,20,20,0,2,2,2,2,2,0,7.6923076923076925,7.6923076923076925,7.6923076923076925,7.6923076923076925,0,"axoniq-spring-boot-autoconfigure-5.1.2",""
"org.springframework.context",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,3.8461538461538463,3.8461538461538463,3.8461538461538463,3.8461538461538463,0,"axoniq-spring-boot-autoconfigure-5.1.2",""
"reactor.core.publisher",1,5,5,5,5,5,0,8.771929824561402,8.771929824561402,8.771929824561402,8.771929824561402,0,8,8,8,8,8,0,1.263823064770932,1.263823064770932,1.263823064770932,1.263823064770932,0,"axon-messaging-5.1.2",""
"reactor.core.scheduler",1,1,1,1,1,1,0,10,10,10,10,0,1,1,1,1,1,0,1.2658227848101267,1.2658227848101267,1.2658227848101267,1.2658227848101267,0,"axon-server-connector-5.1.2",""
"reactor.util.concurrent",1,1,1,1,1,1,0,1.7543859649122806,1.7543859649122806,1.7543859649122806,1.7543859649122806,0,2,2,2,2,2,0,0.315955766192733,0.315955766192733,0.315955766192733,0.315955766192733,0,"axon-messaging-5.1.2",""
"tools.jackson.core",1,1,1,1,1,1,0,20,20,20,20,0,3,3,3,3,3,0,7.317073170731707,7.317073170731707,7.317073170731707,7.317073170731707,0,"axon-conversion-5.1.2",""
"tools.jackson.databind",1,1,1,1,1,1,0,20,20,20,20,0,5,5,5,5,5,0,12.195121951219512,12.195121951219512,12.195121951219512,12.195121951219512,0,"axon-conversion-5.1.2",""
"tools.jackson.databind.json",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,2.4390243902439024,2.4390243902439024,2.4390243902439024,2.4390243902439024,0,"axon-conversion-5.1.2",""
"tools.jackson.databind.node",1,1,1,1,1,1,0,20,20,20,20,0,2,2,2,2,2,0,4.878048780487805,4.878048780487805,4.878048780487805,4.878048780487805,0,"axon-conversion-5.1.2",""
